Dist.Name,Latitude,Longitude,"School Name",Address,Dist.Code,Enroll,Free,"% Free",Reduced,"% Reduced",Eligible,"% Eligible",County,"Accuracy Score",Latitude,Longitude,"Accuracy Score"
"Rsu 39",46.892918,-67.9643,"Limestone Community School","Limestone Community School, Limestone, Maine",3174,263,183,69.58,18,6.84,201,76.43,Aroostook,0.67,40.627135,-89.685132,0.53
"Rsu 39",,,"Teague Park School","59 Glenn St, Caribou, ME  04736",3174,246,112,45.53,27,10.98,139,56.5,Aroostook,0,46.8659987,-68.0069771,1
"Rsu 42/Msad 42",44.180965,-70.891727,"Central Aroostook Jr-Sr H S","Central Aroostook Jr-Sr H S, Maine",1236,202,65,32.18,21,10.4,86,42.57,Aroostook,0.67,44.180965,-70.891727,0.67
"Rsu 42/Msad 42",,,"Fort Street School","38 Fort St, Mars Hill, ME, 04758",1236,237,100,42.19,19,8.02,119,50.21,Aroostook,0,46.5232892,-67.866353,0.8
"Rsu 45/Msad 45",46.793032,-68.105233,"Washburn District Elem School","Washburn District Elem School, Maine",1239,267,150,56.18,23,8.61,173,64.79,Aroostook,0.67,46.793032,-68.105233,0.67
"Rsu 45/Msad 45",46.793032,-68.105233,"Washburn District High School","Washburn District High School, Maine",1239,126,49,38.89,13,10.32,62,49.21,Aroostook,0.67,46.793032,-68.105233,0.67
"Rsu 50",,,"So Aroostook Csd School","So Aroostook Csd School, Maine",3199,370,216,58.38,34,9.19,250,67.57,Aroostook,0,,,0
"Rsu 70/Msad 70",,,"Mill Pond School","147 Hodgdon Mills Rd, Hodgdon, ME  04730",1262,343,195,56.85,46,13.41,241,70.26,Aroostook,0,46.055673,-67.862396,1
"Rsu 70/Msad 70",,,"Sad 70 Hodgdon High School","175 Hodgdon Mills Rd, Hodgdon, ME  04730",1262,174,90,51.72,16,9.2,106,60.92,Aroostook,0,46.0543,-67.865219,1
"Rsu 79/Msad 01",,,"Eva Hoyt Zippel School","42 Griffin St, Presque Isle, ME  04769",1196,295,145,49.15,26,8.81,171,57.97,Aroostook,0,46.685459,-68.006266333333,1
"Rsu 79/Msad 01",46.68199,-68.16281,"Mapleton Elementary School","Mapleton Elementary School, Maine",1196,203,68,33.5,6,2.96,74,36.45,Aroostook,0.67,46.681990,-68.162810,0.67
"Rsu 79/Msad 01",,,"Pine Street Elementary School","50 Pine St, Presque Isle, ME  04769",1196,370,202,54.59,13,3.51,215,58.11,Aroostook,0,46.67288025,-68.0090455,1
"Rsu 79/Msad 01",46.715072,-68.012557,"Presque Isle High School","Presque Isle High School, Maine",1196,550,182,33.09,54,9.82,236,42.91,Aroostook,0.67,46.715072,-68.012557,0.67
"Rsu 79/Msad 01",46.715072,-68.012557,"Presque Isle Middle School","Presque Isle Middle School, Maine",1196,434,169,38.94,53,12.21,222,51.15,Aroostook,0.67,46.715072,-68.012557,0.67
"Rsu 86/Msad 20",46.746453,-67.841507,"Fort Fairfield Elementary School","Fort Fairfield Elementary School, Maine",1214,259,155,59.85,21,8.11,176,67.95,Aroostook,0.67,46.746453,-67.841507,0.67
"Rsu 86/Msad 20",46.746453,-67.841507,"Fort Fairfield Middle/High School","Fort Fairfield Middle/High School, Maine",1214,271,130,47.97,27,9.96,157,57.93,Aroostook,0.67,46.746453,-67.841507,0.67
