Searsport District Middle School,66.1
Searsport Elementary,56.4
Sebago Elementary School,47
Sebasticook Valley Middle School,56.4
Sedgwick Elementary School,60.8
Shapleigh Memorial School,41.7
Shapleigh School,30.9
Shead High School,55.9
Sherwood Heights Elementary Sch,57.5
Skowhegan Area High School,56
Skowhegan Area Middle School,61.8
So Aroostook School,72.3
Solon Elementary School,71.8
Somerset Valley Middle School,69.9
Songo Locks School,51
South Bristol Elementary School,45.5
South Hiram Elementary School,69.1
South Portland High School,33.2
South School,68.9
Southport Central School,40
Spruce Mountain High School North,44.7
Spruce Mountain High School South,44.6
Spruce Mountain Middle School,57.6
St Albans Consolidated,63.9
St Francis Elementary School,75.8
St George School,60.6
Stearns Jr-Sr High School,56.6
Steep Falls Elementary School,36.8
Stetson Elementary School,53.1
Stevens Brook School,61.5
Stockton Springs Elementary Sch,75
Stratton Elementary School,43.8
Strong Elementary School,64
Sumner Memorial High School,57.4
Surry Elementary School,41.7
Suzanne M Smith Elementary School,49.4
Swans Island Elementary School,46.2
Sylvio J Gilbert School,64.8
T W Kelly Dirigo Middle School,59.9
Teague Park School,55.1
Telstar High School,52.8
Telstar Middle School,59.8
Teresa C Hamlin Elem School,44.4
Thomas J McMahon Elementary Sch,57
Thomaston Grammar School,50.9
Thornton Academy,0.1
Tremont Consolidated School,40
Trenton Elementary School,55.9
Tripp Middle School,46.3
Troy A Howard Middle School,54.2
Troy Central School,72.6
Turner Elementary School,42
Turner Primary School,42.1
Union Elementary,46.2
Unity Elementary School,44.2
Upper Kennebec Valley Senior HS,71.2
Van Buren District Secondary Sch,56.7
Van Buren Elementary School,66.7
Vanceboro Elementary School,84.6
Vassalboro Community School,49.1
Veazie Community School,28.2
Vickery School,43.4
Village Elementary School-Gorham,20.4
Village Elementary School-York,14.7
Vinalhaven School,47.8
Vine Street School,62.7
Viola Rand School,26.4
W G Mallett School,55.3
Waldo T Skillin Elementary School,48.3
Walker Memorial School,60.8
Wallagrass Elementary School,39.7
Walton School,70
Warren Community School,60.7
Warsaw Middle School,39.8
Washburn District Elem School,60.2
Washburn District High School,45.6
Washburn School,75.1
Washington Academy,35.8
Waterboro Elementary School,45.1
Waterford Memorial School,74.8
Waterville Junior High School,53.1
Waterville Senior High School,46.8
Wayne Elementary School,42.9
Wellington School,76.4
Wells Elementary School,24.7
Wells High School,25.1
Wells Junior High School,22.6
Wentworth School,18.2
Wesley Elementary School,100
West Bath School,41.5
Westbrook High School,49.9
Westbrook Middle School,57.2
Whitefield Elementary School,50.5
Whiting Village School,50
Willard School,68.8
William H Rowe School,11.6
William S. Cohen School,36.9
Williams Elementary School,56.2
Williams-Cone School,29.2
Windham High School,27.6
Windham Middle School,33.1
Windham Primary School,34.6
Windsor Elementary School,58.2
Winslow Elementary School,52.6
Winslow High School,42.1
Winslow Junior High School,44.8
Winthrop Grade School,42.6
Winthrop High School,32.8
Winthrop Middle School,36.5
Wiscasset High School,46.4
Wiscasset Middle School,57.8
Wiscasset Primary School,44.2
Wisdom Middle High School,47.2
Woodland Consolidated Sch,54.5
Woodland Elementary School,65
Woodland Jr-Sr High School,55
Woodside Elementary School,33.4
Woodstock School,62
Woolwich Central School,31.8
Yarmouth Elementary School,13.1
Yarmouth High School,9.9
York High School,17.2
York Middle School,13.6
Young School,23.2
