Dist.Name,Latitude,Longitude,School Name,Address,ZIP,Dist.Code,Enroll,Free,% Free,Reduced,% Reduced,Eligible,% Eligible,County,Accuracy Score,Latitude,Longitude,Accuracy Score
Rsu 12 Sheepscot Valley Regional School Unit,44.01151,-69.67336,Wiscasset Middle School,"Wiscasset Middle School, Maine",,3160,174,73,41.95,9,5.17,82,47.13,Lincoln,0.67,44.01151,-69.67336,0.67
Rsu 12 Sheepscot Valley Regional School Unit,44.01151,-69.67336,Wiscasset Primary School,"Wiscasset Primary School, Maine",,3160,206,93,45.15,10,4.85,103,50,Lincoln,0.67,44.01151,-69.67336,0.67
Southport School Department,43.84092,-69.65866,Southport Central School,"Southport Central School, Maine",,1154,22,7,31.82,0,0,7,31.82,Lincoln,0.67,43.84092,-69.65866,0.67
Fryeburg Academy,44.044292,-70.964418,Fryeburg Academy,"Fryeburg Academy, Maine",,1348,579,108,18.65,38,6.56,146,25.22,Oxford,0.67,44.044292,-70.964418,0.67
Rsu 10 Western Foothills,,,Dirigo High School,"Dirigo High School, Maine",,3159,322,139,43.17,32,9.94,171,53.11,Oxford,0,,,0
Rsu 10 Western Foothills,44.462329,-70.300563,Hartford-Sumner Elementary School,"Hartford-Sumner Elementary School, Maine",,3159,313,175,55.91,36,11.5,211,67.41,Oxford,0.53,44.462329,-70.300563,0.53
Rsu 10 Western Foothills,44.377031,-70.568041,Rumford Elementary,"Rumford Elementary, Maine",,3159,316,234,74.05,17,5.38,251,79.43,Oxford,0.67,44.377031,-70.568041,0.67
Rsu 17/Msad 17,44.202833,-70.722362,Waterford Memorial School,"Waterford Memorial School, Maine",,1211,125,77,61.6,9,7.2,86,68.8,Oxford,0.67,44.202833,-70.722362,0.67
Rsu 44 / Msad 44,44.63562,-70.75118,Andover Elementary School,"Andover Elementary School, Maine",,1238,31,18,58.06,0,0,18,58.06,Oxford,0.67,44.63562,-70.75118,0.67
Rsu 44 / Msad 44,43.986184,-70.477001,Crescent Park School,"Crescent Park School, Maine",,1238,241,104,43.15,17,7.05,121,50.21,Oxford,0.53,43.986184,-70.477001,0.53
