dist-code,dist-name,origname,name,enroll,free,free-percent,reduced,reduced-percent,eligible,eligible-percent
485,Zzz Winthrop,Zzz Winthrop Middle School,Winthrop Middle School,197,49,24.87,13,6.6,62,31.47
14,Zzz Appleton Union 069,Zzz Appleton Village School,Appleton Village School,129,36,27.91,15,11.63,51,39.53
729,"Zzz Community Schools, Inc.",Zzz Community School,Community School,8,8,100,0,0,8,100
919,Zzz Five Town Csd,Zzz Camden Hills Regional Hs,Camden Hills Regional Hs,680,111,16.32,32,4.71,143,21.03
204,Zzz Hope Union 069,Zzz Hope Elementary School,Hope Elementary School,143,34,23.78,8,5.59,42,29.37
505,Zzz Sad 05,Zzz Gilford Butler School,Gilford Butler School,80,20,25,5,6.25,25,31.25
505,Zzz Sad 05,Zzz Macdougal School,Macdougal School,120,69,57.5,9,7.5,78,65
505,Zzz Sad 05,Zzz Owls Head Central School,Owls Head Central School,91,20,21.98,1,1.1,21,23.08
505,Zzz Sad 05,Zzz Rockland District High School,Rockland District High School,431,158,36.66,30,6.96,188,43.62
505,Zzz Sad 05,Zzz Rockland Middle School,Rockland Middle School,303,113,37.29,26,8.58,139,45.87
505,Zzz Sad 05,Zzz South School,South School,228,122,53.51,19,8.33,141,61.84
508,Zzz Sad 08,Zzz Vinalhaven School,Vinalhaven School,194,45,23.2,14,7.22,59,30.41
528,Zzz Sad 28,Zzz Camden Middle Sch / Mary E Taylor Mi,Camden Middle Sch / Mary E Taylor Mi,447,66,14.77,16,3.58,82,18.34
528,Zzz Sad 28,Zzz Rockport Elementary School,Rockport Elementary School,326,63,19.33,10,3.07,73,22.39
540,Zzz Sad 40,Zzz Friendship Village School,Friendship Village School,94,42,44.68,7,7.45,49,52.13
540,Zzz Sad 40,Zzz Prescott Memorial School,Prescott Memorial School,115,57,49.57,17,14.78,74,64.35
540,Zzz Sad 40,Zzz Union Elem & Gaul Middle Schs,Union Elem & Gaul Middle Schs,148,59,39.86,20,13.51,79,53.38
540,Zzz Sad 40,Zzz Warren Community School Was Frank,Warren Community School Was Frank,332,163,49.1,50,15.06,213,64.16
550,Zzz Sad 50,Zzz Cushing Community School,Cushing Community School,73,29,39.73,9,12.33,38,52.05
550,Zzz Sad 50,Zzz Georges Valley High School,Georges Valley High School,281,65,23.13,21,7.47,86,30.6
550,Zzz Sad 50,Zzz Lura Libby School,Lura Libby School,147,78,53.06,11,7.48,89,60.54
550,Zzz Sad 50,Zzz St. George School,St. George School,206,76,36.89,13,6.31,89,43.2
550,Zzz Sad 50,Zzz Thomaston Grammar School,Thomaston Grammar School,193,75,38.86,13,6.74,88,45.6
903,Zzz Boothbay Combined,Zzz Boothbay Region Elem Sch,Boothbay Region Elem Sch,417,109,26.14,31,7.43,140,33.57
903,Zzz Boothbay Combined,Zzz Boothbay Region High Sch,Boothbay Region High Sch,255,44,17.25,30,11.76,74,29.02
57,Zzz Bristol Union 074,Zzz Bristol Consolidated School,Bristol Consolidated School,199,62,31.16,18,9.05,80,40.2
128,Zzz Dresden,Zzz Dresden Elementary School,Dresden Elementary School,105,41,39.05,6,5.71,47,44.76
140,Zzz Edgecomb Union 049,Zzz Edgecomb Eddy School,Edgecomb Eddy School,95,27,28.42,8,8.42,35,36.84
914,Zzz Great Salt Bay Csd,Zzz Great Salt Bay Community Sch,Great Salt Bay Community Sch,385,102,26.49,24,6.23,126,32.73
215,Zzz Jefferson Union 132,Zzz Jefferson Village School,Jefferson Village School,198,75,37.88,17,8.59,92,46.46
